ICD10	PMSI	diseaseName	Wikidata	UMLS	synonyms	abbreviation
O12.2	PMSI:DIAGNOSTIC-ICD10CHU|O12.2	Oedème gestationnel avec protéinurie	n/a	n/a	n/a	n/a
O13	PMSI:DIAGNOSTIC-ICD10CHU|O13	Hypertension gestationnelle [liée à la grossesse]	n/a	n/a	n/a	n/a
O14.0	PMSI:DIAGNOSTIC-ICD10CHU|O14.0	Prééclampsie légère à modérée	n/a	n/a	n/a	n/a
O14.1	PMSI:DIAGNOSTIC-ICD10CHU|O14.1	Prééclampsie sévère	n/a	n/a	n/a	n/a
O14.2	PMSI:DIAGNOSTIC-ICD10CHU|O14.2	HELLP Syndrome	Q1563513	n/a	n/a	['HELLP']
O14.9	PMSI:DIAGNOSTIC-ICD10CHU|O14.9	Prééclampsie, SP	Q61335	n/a	n/a	['PE']
O15.0	PMSI:DIAGNOSTIC-ICD10CHU|O15.0	Eclampsie au cours de la grossesse	n/a	n/a	n/a	n/a
O15.1	PMSI:DIAGNOSTIC-ICD10CHU|O15.1	Eclampsie au cours du travail	n/a	n/a	n/a	n/a
N82.2	PMSI:DIAGNOSTIC-ICD10CHU|N82.2	Fistule du vagin à l'intestin grêle	n/a	n/a	n/a	n/a
N82.3	PMSI:DIAGNOSTIC-ICD10CHU|N82.3	Fistule du vagin au côlon	n/a	n/a	n/a	n/a
N82.4	PMSI:DIAGNOSTIC-ICD10CHU|N82.4	Autres fistules intestino-génitales chez la femme	n/a	n/a	n/a	n/a
N82.5	PMSI:DIAGNOSTIC-ICD10CHU|N82.5	Fistule génito-cutanée chez la femme	n/a	n/a	n/a	n/a
N82.8	PMSI:DIAGNOSTIC-ICD10CHU|N82.8	Autres fistules de l'appareil génital de la femme	n/a	n/a	n/a	n/a
N82.9	PMSI:DIAGNOSTIC-ICD10CHU|N82.9	Fistule de l'appareil génital de la femme, sans précision	n/a	n/a	n/a	n/a
N83.0	PMSI:DIAGNOSTIC-ICD10CHU|N83.0	Kyste folliculaire de l'ovaire	n/a	n/a	n/a	n/a
N83.2	PMSI:DIAGNOSTIC-ICD10CHU|N83.2	Kyste ovarien, autres et SP	Q147362	n/a	n/a	['KOD']
N83.3	PMSI:DIAGNOSTIC-ICD10CHU|N83.3	Atrophie acquise de l'ovaire et de la trompe de Fallope	n/a	n/a	n/a	n/a
N83.4	PMSI:DIAGNOSTIC-ICD10CHU|N83.4	Prolapsus et hernie de l'ovaire et de la trompe de Fallope	Q18554369	n/a	n/a	n/a
N83.5	PMSI:DIAGNOSTIC-ICD10CHU|N83.5	Torsion de l'ovaire	n/a	n/a	n/a	n/a
N83.6	PMSI:DIAGNOSTIC-ICD10CHU|N83.6	Hématosalpinx	n/a	n/a	n/a	n/a
N83.9	PMSI:DIAGNOSTIC-ICD10CHU|N83.9	Affection non inflammatoire de l'ovaire, de la trompe de Fallope et du ligament large, SAI	n/a	n/a	n/a	n/a
N84.0	PMSI:DIAGNOSTIC-ICD10CHU|N84.0	Polype du corps de l'utérus	Q18558051	n/a	n/a	n/a
N84.1	PMSI:DIAGNOSTIC-ICD10CHU|N84.1	Polype du col de l'utérus	n/a	n/a	n/a	n/a
N84.2	PMSI:DIAGNOSTIC-ICD10CHU|N84.2	Polype du vagin	n/a	n/a	n/a	n/a
N84.3	PMSI:DIAGNOSTIC-ICD10CHU|N84.3	Polype de la vulve	n/a	n/a	n/a	n/a
N84.8	PMSI:DIAGNOSTIC-ICD10CHU|N84.8	Polypes d'autres parties de l'appareil génital de la femme	n/a	n/a	n/a	n/a
N84.9	PMSI:DIAGNOSTIC-ICD10CHU|N84.9	Polype de l'appareil génital de la femme, SP	n/a	n/a	n/a	n/a
N85.1	PMSI:DIAGNOSTIC-ICD10CHU|N85.1	Hyperplasie adénomateuse de l'endomètre	n/a	n/a	n/a	n/a
N85.2	PMSI:DIAGNOSTIC-ICD10CHU|N85.2	Hypertrophie de l'utérus	n/a	n/a	n/a	n/a
N85.4	PMSI:DIAGNOSTIC-ICD10CHU|N85.4	Malposition de l'utérus	Q1069694	n/a	n/a	n/a
N85.5	PMSI:DIAGNOSTIC-ICD10CHU|N85.5	Inversion de l'utérus	Q7902651	n/a	n/a	n/a
N85.7	PMSI:DIAGNOSTIC-ICD10CHU|N85.7	Hématométrie	Q7476276	n/a	n/a	n/a
N85.8	PMSI:DIAGNOSTIC-ICD10CHU|N85.8	Autres affections non inflammatoires précisées de l'utérus	n/a	n/a	n/a	n/a
N85.9	PMSI:DIAGNOSTIC-ICD10CHU|N85.9	Affection non inflammatoire de l'utérus, sans précision	Q18555940	n/a	n/a	n/a
N87.0	PMSI:DIAGNOSTIC-ICD10CHU|N87.0	Dysplasie légère du col de l'utérus	n/a	n/a	n/a	n/a
N87.1	PMSI:DIAGNOSTIC-ICD10CHU|N87.1	Dysplasie moyenne du col de l'utérus	n/a	n/a	n/a	n/a
N87.2	PMSI:DIAGNOSTIC-ICD10CHU|N87.2	Dysplasie sévère du col de l'utérus, NCA	n/a	n/a	n/a	n/a
N87.9	PMSI:DIAGNOSTIC-ICD10CHU|N87.9	Dysplasie col utérus, SP	n/a	n/a	n/a	n/a
N88.1	PMSI:DIAGNOSTIC-ICD10CHU|N88.1	Déchirure ancienne du col de l'utérus	n/a	n/a	n/a	n/a
N88.3	PMSI:DIAGNOSTIC-ICD10CHU|N88.3	Béance du col de l'utérus	Q2563414	n/a	n/a	n/a
N88.4	PMSI:DIAGNOSTIC-ICD10CHU|N88.4	Allongement hypertrophique du col de l'utérus	Q18555045	n/a	n/a	n/a
N88.8	PMSI:DIAGNOSTIC-ICD10CHU|N88.8	Autres affections non inflammatoires précisées du col de l'utérus	n/a	n/a	n/a	n/a
N88.9	PMSI:DIAGNOSTIC-ICD10CHU|N88.9	Affection non inflammatoire du col de l'utérus, SP	n/a	n/a	n/a	n/a
N89.1	PMSI:DIAGNOSTIC-ICD10CHU|N89.1	Dysplasie moyenne du vagin	n/a	n/a	n/a	n/a
N89.2	PMSI:DIAGNOSTIC-ICD10CHU|N89.2	Dysplasie sévère du vagin, NCA	n/a	n/a	n/a	n/a
N89.3	PMSI:DIAGNOSTIC-ICD10CHU|N89.3	Dysplasie du vagin, sans précision	n/a	n/a	n/a	n/a
N89.5	PMSI:DIAGNOSTIC-ICD10CHU|N89.5	Rétrécissement et atrésie du vagin	n/a	n/a	n/a	n/a
N89.7	PMSI:DIAGNOSTIC-ICD10CHU|N89.7	Hématocolpos	n/a	n/a	n/a	n/a
N89.9	PMSI:DIAGNOSTIC-ICD10CHU|N89.9	Affection non inflammatoire du vagin, SP	n/a	n/a	n/a	n/a
N90.0	PMSI:DIAGNOSTIC-ICD10CHU|N90.0	Dysplasie légère de la vulve	n/a	n/a	n/a	n/a
N90.2	PMSI:DIAGNOSTIC-ICD10CHU|N90.2	Dysplasie sévère de la vulve, NCA	n/a	n/a	n/a	n/a
N90.3	PMSI:DIAGNOSTIC-ICD10CHU|N90.3	Dysplasie de la vulve, sans précision	n/a	n/a	n/a	n/a
N90.5	PMSI:DIAGNOSTIC-ICD10CHU|N90.5	Atrophie de la vulve	Q18554732	n/a	n/a	n/a
N90.6	PMSI:DIAGNOSTIC-ICD10CHU|N90.6	Hypertrophie de la vulve	n/a	n/a	n/a	n/a
N90.7	PMSI:DIAGNOSTIC-ICD10CHU|N90.7	Kyste de la vulve	n/a	n/a	n/a	n/a
N90.8	PMSI:DIAGNOSTIC-ICD10CHU|N90.8	Autres affections non inflammatoires précisées de la vulve et du périnée	n/a	n/a	n/a	n/a
N90.9	PMSI:DIAGNOSTIC-ICD10CHU|N90.9	Affection non inflammatoire de la vulve et du périnée, sans précision	n/a	n/a	n/a	n/a
N91.0	PMSI:DIAGNOSTIC-ICD10CHU|N91.0	Aménorrhée primaire	n/a	n/a	n/a	n/a
N91.1	PMSI:DIAGNOSTIC-ICD10CHU|N91.1	Aménorrhée secondaire	n/a	n/a	n/a	n/a
N91.2	PMSI:DIAGNOSTIC-ICD10CHU|N91.2	Aménorrhée, SP	Q334655	n/a	n/a	n/a
N91.3	PMSI:DIAGNOSTIC-ICD10CHU|N91.3	Oligoménorrhée primaire	n/a	n/a	n/a	n/a
N91.4	PMSI:DIAGNOSTIC-ICD10CHU|N91.4	Oligoménorrhée secondaire	n/a	n/a	n/a	n/a
N92.0	PMSI:DIAGNOSTIC-ICD10CHU|N92.0	Menstruation trop abondante et trop fréquente avec cycle menstruel régulier	n/a	n/a	n/a	n/a
N92.1	PMSI:DIAGNOSTIC-ICD10CHU|N92.1	Menstruation trop abondante et trop fréquente avec cycle menstruel irrégulier	Q3333223	n/a	n/a	n/a
N92.2	PMSI:DIAGNOSTIC-ICD10CHU|N92.2	Menstruation trop abondante à la puberté	n/a	n/a	n/a	n/a
N92.4	PMSI:DIAGNOSTIC-ICD10CHU|N92.4	Saignements abondants de la préménopause	n/a	n/a	n/a	n/a
N92.5	PMSI:DIAGNOSTIC-ICD10CHU|N92.5	Autres irrégularités menstruelles précisées	n/a	n/a	n/a	n/a
N93.0	PMSI:DIAGNOSTIC-ICD10CHU|N93.0	Saignements post-coïtaux et de contact	n/a	n/a	n/a	n/a
N93.8	PMSI:DIAGNOSTIC-ICD10CHU|N93.8	Autres saignements anormaux précisés de l'utérus et du vagin	Q2633143	n/a	n/a	n/a
N93.9	PMSI:DIAGNOSTIC-ICD10CHU|N93.9	Saignement anormal de l'utérus et du vagin, sans précision	n/a	n/a	n/a	n/a
N94.0	PMSI:DIAGNOSTIC-ICD10CHU|N94.0	Douleurs intermenstruelles	n/a	n/a	n/a	n/a
N94.2	PMSI:DIAGNOSTIC-ICD10CHU|N94.2	Vaginisme	n/a	n/a	n/a	n/a
N94.3	PMSI:DIAGNOSTIC-ICD10CHU|N94.3	Syndrome de tension prémenstruelle	Q220193	n/a	n/a	n/a
N94.5	PMSI:DIAGNOSTIC-ICD10CHU|N94.5	Dysménorrhée secondaire	n/a	n/a	n/a	n/a
N94.8	PMSI:DIAGNOSTIC-ICD10CHU|N94.8	Autres affections précisées des organes génitaux de la femme et du cycle menstruel	n/a	n/a	n/a	n/a
N94.9	PMSI:DIAGNOSTIC-ICD10CHU|N94.9	Affection des organes génitaux de la femme et du cycle menstruel, SAI	n/a	n/a	n/a	n/a
N95.0	PMSI:DIAGNOSTIC-ICD10CHU|N95.0	Saignements post ménopausiques	n/a	n/a	n/a	n/a
N95.1	PMSI:DIAGNOSTIC-ICD10CHU|N95.1	Troubles de la ménopause et du climatère féminin	n/a	n/a	n/a	n/a
N95.2	PMSI:DIAGNOSTIC-ICD10CHU|N95.2	Vaginite atrophique post-ménopausique	Q4007235	n/a	n/a	n/a
N95.3	PMSI:DIAGNOSTIC-ICD10CHU|N95.3	Troubles au cours d'une ménopause artificielle	n/a	n/a	n/a	n/a
N95.8	PMSI:DIAGNOSTIC-ICD10CHU|N95.8	Autres troubles précisés de la ménopause et de la périménopause	n/a	n/a	n/a	n/a
N95.9	PMSI:DIAGNOSTIC-ICD10CHU|N95.9	Troubles de la ménopause et de la préménopause, SP	n/a	n/a	n/a	n/a
N96	PMSI:DIAGNOSTIC-ICD10CHU|N96	Avortements à répétition	Q25787	n/a	n/a	n/a
N97.1	PMSI:DIAGNOSTIC-ICD10CHU|N97.1	Stérilité d'origine tubaire	n/a	n/a	n/a	n/a
N97.2	PMSI:DIAGNOSTIC-ICD10CHU|N97.2	Stérilité d'origine utérine	Q18554555	n/a	n/a	n/a
N97.3	PMSI:DIAGNOSTIC-ICD10CHU|N97.3	Stérilité d'origine cervicale	n/a	n/a	n/a	n/a
N97.4	PMSI:DIAGNOSTIC-ICD10CHU|N97.4	Stérilité de la femme associée à des facteurs relevant de l'homme	n/a	n/a	n/a	n/a
N97.8	PMSI:DIAGNOSTIC-ICD10CHU|N97.8	Stérilité de la femme d'autres origines	n/a	n/a	n/a	n/a
N97.9	PMSI:DIAGNOSTIC-ICD10CHU|N97.9	Stérilité de la femme, sans précision	n/a	n/a	n/a	n/a
N98.0	PMSI:DIAGNOSTIC-ICD10CHU|N98.0	Infection associée à l'insémination artificielle	n/a	n/a	n/a	n/a
N98.2	PMSI:DIAGNOSTIC-ICD10CHU|N98.2	Complications de tentative d'implantation d'un oeuf fécondé après fécondation in vitro	n/a	n/a	n/a	n/a
N98.8	PMSI:DIAGNOSTIC-ICD10CHU|N98.8	Autres complications de la fécondation artificielle	n/a	n/a	n/a	n/a
N98.9	PMSI:DIAGNOSTIC-ICD10CHU|N98.9	Complication de la fécondation artificielle, sans précision	n/a	n/a	n/a	n/a
W57.0	PMSI:DIAGNOSTIC-ICD10CHU|W57.0	Morsure ou piqûre non venimeuse d'insectes et autres arthropodes - domicile	n/a	n/a	n/a	n/a
W57.1	PMSI:DIAGNOSTIC-ICD10CHU|W57.1	Morsure ou piqûre non venimeuse d'insectes et autres arthropodes - établissement collectif	n/a	n/a	n/a	n/a
W57.3	PMSI:DIAGNOSTIC-ICD10CHU|W57.3	Morsure ou piqûre non venimeuse d'insectes et autres arthropodes - lieu de sport	n/a	n/a	n/a	n/a
W57.4	PMSI:DIAGNOSTIC-ICD10CHU|W57.4	Morsure ou piqûre non venimeuse d'insectes et autres arthropodes - rue ou route	n/a	n/a	n/a	n/a
W57.5	PMSI:DIAGNOSTIC-ICD10CHU|W57.5	Morsure ou piqûre non venimeuse d'insectes et autres arthropodes - zone de commerce	n/a	n/a	n/a	n/a
W57.7	PMSI:DIAGNOSTIC-ICD10CHU|W57.7	Morsure ou piqûre non venimeuse d'insectes et autres arthropodes - exploitation agricole	n/a	n/a	n/a	n/a
W57.9	PMSI:DIAGNOSTIC-ICD10CHU|W57.9	Morsure ou piqûre non venimeuse d'insectes et autres arthropodes - lieu SAI	n/a	n/a	n/a	n/a
W58.0	PMSI:DIAGNOSTIC-ICD10CHU|W58.0	Morsure ou coup donné par un crocodile ou un alligator - domicile	n/a	n/a	n/a	n/a
W58.2	PMSI:DIAGNOSTIC-ICD10CHU|W58.2	Morsure ou coup donné par un crocodile ou un alligator - école et lieu public	n/a	n/a	n/a	n/a
W59.0	PMSI:DIAGNOSTIC-ICD10CHU|W59.0	Morsure ou écrasement par d'autres reptiles - domicile	n/a	n/a	n/a	n/a
W59.4	PMSI:DIAGNOSTIC-ICD10CHU|W59.4	Morsure ou écrasement par d'autres reptiles - rue ou route	n/a	n/a	n/a	n/a
W59.5	PMSI:DIAGNOSTIC-ICD10CHU|W59.5	Morsure ou écrasement par d'autres reptiles - zone de commerce	n/a	n/a	n/a	n/a
W59.8	PMSI:DIAGNOSTIC-ICD10CHU|W59.8	Morsure ou écrasement par d'autres reptiles - autres lieux précisés	n/a	n/a	n/a	n/a
W59.9	PMSI:DIAGNOSTIC-ICD10CHU|W59.9	Morsure ou écrasement par d'autres reptiles - lieu SAI	n/a	n/a	n/a	n/a
W60.0	PMSI:DIAGNOSTIC-ICD10CHU|W60.0	Contact avec des épines de plantes et des feuilles acérées - domicile	n/a	n/a	n/a	n/a
W60.2	PMSI:DIAGNOSTIC-ICD10CHU|W60.2	Contact avec des épines de plantes et des feuilles acérées - école et lieu public	n/a	n/a	n/a	n/a
W60.4	PMSI:DIAGNOSTIC-ICD10CHU|W60.4	Contact avec des épines de plantes et des feuilles acérées - rue ou route	n/a	n/a	n/a	n/a
W60.7	PMSI:DIAGNOSTIC-ICD10CHU|W60.7	Contact avec des épines de plantes et des feuilles acérées - exploitation agricole	n/a	n/a	n/a	n/a
W60.8	PMSI:DIAGNOSTIC-ICD10CHU|W60.8	Contact avec des épines de plantes et des feuilles acérées - autres lieux précisés	n/a	n/a	n/a	n/a
W60.9	PMSI:DIAGNOSTIC-ICD10CHU|W60.9	Contact avec des épines de plantes et des feuilles acérées - lieu SAI	n/a	n/a	n/a	n/a
W64.0	PMSI:DIAGNOSTIC-ICD10CHU|W64.0	Exposition à des forces animées, autres et SAI - domicile	n/a	n/a	n/a	n/a
W64.2	PMSI:DIAGNOSTIC-ICD10CHU|W64.2	Exposition à des forces animées, autres et SAI - école et lieu public	n/a	n/a	n/a	n/a
W64.3	PMSI:DIAGNOSTIC-ICD10CHU|W64.3	Exposition à des forces animées, autres et SAI - lieu de sport	n/a	n/a	n/a	n/a
W64.4	PMSI:DIAGNOSTIC-ICD10CHU|W64.4	Exposition à des forces animées, autres et SAI - rue ou route	n/a	n/a	n/a	n/a
W64.7	PMSI:DIAGNOSTIC-ICD10CHU|W64.7	Exposition à des forces animées, autres et SAI - exploitation agricole	n/a	n/a	n/a	n/a
W64.8	PMSI:DIAGNOSTIC-ICD10CHU|W64.8	Exposition à des forces animées, autres et SAI - autres lieux précisés	n/a	n/a	n/a	n/a
W65.0	PMSI:DIAGNOSTIC-ICD10CHU|W65.0	Noyade / submersion dans une baignoire	n/a	n/a	n/a	n/a
W67.1	PMSI:DIAGNOSTIC-ICD10CHU|W67.1	Noyade et submersion dans une piscine - établissement collectif	n/a	n/a	n/a	n/a
W67.2	PMSI:DIAGNOSTIC-ICD10CHU|W67.2	Noyade et submersion dans une piscine - école et lieu public	n/a	n/a	n/a	n/a
W67.3	PMSI:DIAGNOSTIC-ICD10CHU|W67.3	Noyade / submersion dans une piscine publique	n/a	n/a	n/a	n/a
W67.4	PMSI:DIAGNOSTIC-ICD10CHU|W67.4	Noyade et submersion dans une piscine - rue ou route	n/a	n/a	n/a	n/a
W67.5	PMSI:DIAGNOSTIC-ICD10CHU|W67.5	Noyade et submersion dans une piscine - zone de commerce	n/a	n/a	n/a	n/a
W67.8	PMSI:DIAGNOSTIC-ICD10CHU|W67.8	Noyade et submersion dans une piscine - autres lieux précisés	n/a	n/a	n/a	n/a
W68.0	PMSI:DIAGNOSTIC-ICD10CHU|W68.0	Noyade et submersion consécutives à une chute dans une piscine - domicile	n/a	n/a	n/a	n/a
W68.1	PMSI:DIAGNOSTIC-ICD10CHU|W68.1	Noyade et submersion consécutives à une chute dans une piscine - établissement collectif	n/a	n/a	n/a	n/a
W68.2	PMSI:DIAGNOSTIC-ICD10CHU|W68.2	Noyade et submersion consécutives à une chute dans une piscine - école et lieu public	n/a	n/a	n/a	n/a
W68.8	PMSI:DIAGNOSTIC-ICD10CHU|W68.8	Noyade et submersion consécutives à une chute dans une piscine - autres lieux précisés	n/a	n/a	n/a	n/a
W68.9	PMSI:DIAGNOSTIC-ICD10CHU|W68.9	Noyade et submersion consécutives à une chute dans une piscine - lieu SAI	n/a	n/a	n/a	n/a
W69.0	PMSI:DIAGNOSTIC-ICD10CHU|W69.0	Noyade et submersion dans des eaux naturelles - domicile	n/a	n/a	n/a	n/a
W69.3	PMSI:DIAGNOSTIC-ICD10CHU|W69.3	Noyade et submersion dans des eaux naturelles - lieu de sport	n/a	n/a	n/a	n/a
W69.4	PMSI:DIAGNOSTIC-ICD10CHU|W69.4	Noyade et submersion dans des eaux naturelles - rue ou route	n/a	n/a	n/a	n/a
W69.8	PMSI:DIAGNOSTIC-ICD10CHU|W69.8	Noyade / submersion dans mer, lac, cours d'eau	n/a	n/a	n/a	n/a
W69.9	PMSI:DIAGNOSTIC-ICD10CHU|W69.9	Noyade et submersion dans des eaux naturelles - lieu SAI	n/a	n/a	n/a	n/a
W70.0	PMSI:DIAGNOSTIC-ICD10CHU|W70.0	Noyade et submersion - chute dans eaux naturelles - domicile	n/a	n/a	n/a	n/a
W70.2	PMSI:DIAGNOSTIC-ICD10CHU|W70.2	Noyade et submersion - chute dans eaux naturelles - école et lieu public	n/a	n/a	n/a	n/a
W70.3	PMSI:DIAGNOSTIC-ICD10CHU|W70.3	Noyade et submersion - chute dans eaux naturelles - lieu de sport	n/a	n/a	n/a	n/a
W70.4	PMSI:DIAGNOSTIC-ICD10CHU|W70.4	Noyade et submersion - chute dans eaux naturelles - rue ou route	n/a	n/a	n/a	n/a
W70.8	PMSI:DIAGNOSTIC-ICD10CHU|W70.8	Noyade et submersion - chute dans eaux naturelles - autres lieux précisés	n/a	n/a	n/a	n/a
W70.9	PMSI:DIAGNOSTIC-ICD10CHU|W70.9	Noyade et submersion - chute dans eaux naturelles - lieu SAI	n/a	n/a	n/a	n/a
W73.1	PMSI:DIAGNOSTIC-ICD10CHU|W73.1	Autres formes de noyade et submersion précisées - établissement collectif	n/a	n/a	n/a	n/a
W73.4	PMSI:DIAGNOSTIC-ICD10CHU|W73.4	Autres formes de noyade et submersion précisées - rue ou route	n/a	n/a	n/a	n/a
W73.8	PMSI:DIAGNOSTIC-ICD10CHU|W73.8	Autres formes de noyade et submersion précisées - autres lieux précisés	n/a	n/a	n/a	n/a
W74.0	PMSI:DIAGNOSTIC-ICD10CHU|W74.0	Noyade et submersion SAI - domicile	n/a	n/a	n/a	n/a
W74.1	PMSI:DIAGNOSTIC-ICD10CHU|W74.1	Noyade et submersion SAI - établissement collectif	n/a	n/a	n/a	n/a
W74.2	PMSI:DIAGNOSTIC-ICD10CHU|W74.2	Noyade et submersion SAI - école et lieu public	n/a	n/a	n/a	n/a
W74.8	PMSI:DIAGNOSTIC-ICD10CHU|W74.8	Noyade et submersion SAI - autres lieux précisés	n/a	n/a	n/a	n/a
W74.9	PMSI:DIAGNOSTIC-ICD10CHU|W74.9	Noyade et submersion SAI - lieu SAI	n/a	n/a	n/a	n/a
W76.0	PMSI:DIAGNOSTIC-ICD10CHU|W76.0	Autre pendaison et strangulation accidentelles - domicile	n/a	n/a	n/a	n/a
W76.1	PMSI:DIAGNOSTIC-ICD10CHU|W76.1	Autre pendaison et strangulation accidentelles - établissement collectif	n/a	n/a	n/a	n/a
W76.6	PMSI:DIAGNOSTIC-ICD10CHU|W76.6	Autre pendaison et strangulation accidentelles - local industriel et chantier	n/a	n/a	n/a	n/a
W76.8	PMSI:DIAGNOSTIC-ICD10CHU|W76.8	Autre pendaison et strangulation accidentelles - autres lieux précisés	n/a	n/a	n/a	n/a
W76.9	PMSI:DIAGNOSTIC-ICD10CHU|W76.9	Autre pendaison et strangulation accidentelles - lieu SAI	n/a	n/a	n/a	n/a
W77.8	PMSI:DIAGNOSTIC-ICD10CHU|W77.8	Danger respiratoire dû à sol et terre - autres lieux précisés	n/a	n/a	n/a	n/a
W78.0	PMSI:DIAGNOSTIC-ICD10CHU|W78.0	Inhalation du contenu de l'estomac - domicile	n/a	n/a	n/a	n/a
W78.1	PMSI:DIAGNOSTIC-ICD10CHU|W78.1	Inhalation du contenu de l'estomac - établissement collectif	n/a	n/a	n/a	n/a
W78.2	PMSI:DIAGNOSTIC-ICD10CHU|W78.2	Inhalation du contenu de l'estomac - école et lieu public	n/a	n/a	n/a	n/a
W78.3	PMSI:DIAGNOSTIC-ICD10CHU|W78.3	Inhalation du contenu de l'estomac - lieu de sport	n/a	n/a	n/a	n/a
W78.4	PMSI:DIAGNOSTIC-ICD10CHU|W78.4	Inhalation du contenu de l'estomac - rue ou route	n/a	n/a	n/a	n/a
W78.8	PMSI:DIAGNOSTIC-ICD10CHU|W78.8	Inhalation du contenu de l'estomac - autres lieux précisés	n/a	n/a	n/a	n/a
W78.9	PMSI:DIAGNOSTIC-ICD10CHU|W78.9	Inhalation du contenu de l'estomac - lieu SAI	n/a	n/a	n/a	n/a
W79.0	PMSI:DIAGNOSTIC-ICD10CHU|W79.0	Inhalation, ingestion aliments - obstruction respiratoire - domicile	n/a	n/a	n/a	n/a
W79.2	PMSI:DIAGNOSTIC-ICD10CHU|W79.2	Inhalation, ingestion aliments - obstruction respiratoire - école et lieu public	n/a	n/a	n/a	n/a
W79.4	PMSI:DIAGNOSTIC-ICD10CHU|W79.4	Inhalation, ingestion aliments - obstruction respiratoire - rue ou route	n/a	n/a	n/a	n/a
W79.5	PMSI:DIAGNOSTIC-ICD10CHU|W79.5	Inhalation, ingestion aliments - obstruction respiratoire - zone de commerce	n/a	n/a	n/a	n/a
W79.9	PMSI:DIAGNOSTIC-ICD10CHU|W79.9	Inhalation, ingestion aliments - obstruction respiratoire - lieu SAI	n/a	n/a	n/a	n/a
W80.0	PMSI:DIAGNOSTIC-ICD10CHU|W80.0	Inhalation, ingestion autres objets - obstruction respiratoire - domicile	n/a	n/a	n/a	n/a
W80.1	PMSI:DIAGNOSTIC-ICD10CHU|W80.1	Inhalation, ingestion autres objets - obstruction respiratoire - établissement collectif	n/a	n/a	n/a	n/a
W80.2	PMSI:DIAGNOSTIC-ICD10CHU|W80.2	Inhalation, ingestion autres objets - obstruction respiratoire - école et lieu public	n/a	n/a	n/a	n/a
W80.5	PMSI:DIAGNOSTIC-ICD10CHU|W80.5	Inhalation, ingestion autres objets - obstruction respiratoire - zone de commerce	n/a	n/a	n/a	n/a
W80.6	PMSI:DIAGNOSTIC-ICD10CHU|W80.6	Inhalation, ingestion autres objets - obstruction respiratoire - local industriel et chantier	n/a	n/a	n/a	n/a
W80.8	PMSI:DIAGNOSTIC-ICD10CHU|W80.8	Inhalation, ingestion autres objets - obstruction respiratoire - autres lieux précisés	n/a	n/a	n/a	n/a
W80.9	PMSI:DIAGNOSTIC-ICD10CHU|W80.9	Inhalation, ingestion autres objets - obstruction respiratoire - lieu SAI	n/a	n/a	n/a	n/a
W84.8	PMSI:DIAGNOSTIC-ICD10CHU|W84.8	Danger pour la respiration SAI - autres lieux précisés	n/a	n/a	n/a	n/a
W85.0	PMSI:DIAGNOSTIC-ICD10CHU|W85.0	Exposition aux lignes électriques - domicile	n/a	n/a	n/a	n/a
W85.1	PMSI:DIAGNOSTIC-ICD10CHU|W85.1	Exposition aux lignes électriques - établissement collectif	n/a	n/a	n/a	n/a
W85.2	PMSI:DIAGNOSTIC-ICD10CHU|W85.2	Exposition aux lignes électriques - école et lieu public	n/a	n/a	n/a	n/a
W85.4	PMSI:DIAGNOSTIC-ICD10CHU|W85.4	Exposition aux lignes électriques - rue ou route	n/a	n/a	n/a	n/a
W85.5	PMSI:DIAGNOSTIC-ICD10CHU|W85.5	Exposition aux lignes électriques - zone de commerce	n/a	n/a	n/a	n/a
W85.7	PMSI:DIAGNOSTIC-ICD10CHU|W85.7	Exposition aux lignes électriques - exploitation agricole	n/a	n/a	n/a	n/a
W85.8	PMSI:DIAGNOSTIC-ICD10CHU|W85.8	Exposition aux lignes électriques - autres lieux précisés	n/a	n/a	n/a	n/a
W85.9	PMSI:DIAGNOSTIC-ICD10CHU|W85.9	Exposition aux lignes électriques - lieu SAI	n/a	n/a	n/a	n/a
W86.0	PMSI:DIAGNOSTIC-ICD10CHU|W86.0	Exposition à d'autres formes précisées de courant électrique - domicile	n/a	n/a	n/a	n/a
W86.1	PMSI:DIAGNOSTIC-ICD10CHU|W86.1	Exposition à d'autres formes précisées de courant électrique - établissement collectif	n/a	n/a	n/a	n/a
W86.4	PMSI:DIAGNOSTIC-ICD10CHU|W86.4	Exposition à d'autres formes précisées de courant électrique - rue ou route	n/a	n/a	n/a	n/a
W86.6	PMSI:DIAGNOSTIC-ICD10CHU|W86.6	Exposition à d'autres formes précisées de courant électrique - local industriel et chantier	n/a	n/a	n/a	n/a
W86.8	PMSI:DIAGNOSTIC-ICD10CHU|W86.8	Exposition à d'autres formes précisées de courant électrique - autres lieux précisés	n/a	n/a	n/a	n/a
W86.9	PMSI:DIAGNOSTIC-ICD10CHU|W86.9	Exposition à d'autres formes précisées de courant électrique - lieu SAI	n/a	n/a	n/a	n/a
W87.0	PMSI:DIAGNOSTIC-ICD10CHU|W87.0	Exposition au courant électrique SAI - domicile	n/a	n/a	n/a	n/a
W87.1	PMSI:DIAGNOSTIC-ICD10CHU|W87.1	Exposition au courant électrique SAI - établissement collectif	n/a	n/a	n/a	n/a
W87.2	PMSI:DIAGNOSTIC-ICD10CHU|W87.2	Exposition au courant électrique SAI - école et lieu public	n/a	n/a	n/a	n/a
S53.4	PMSI:DIAGNOSTIC-ICD10CHU|S53.4	Entorse et foulure du coude	n/a	n/a	n/a	n/a
